ID,Name,Cadre,Reference_Value,Qualification,Subject,Category_of_Subject,Division,Source
MH008100,Shri A D Samant,Maharashtra,1,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
MH008300,Shri S Ramakrishna,Maharashtra,0,Diploma,Electrical Engg.,"Engineering, Technology and Mathematics",Ordinary,Supremo
MH008300,Shri S Ramakrishna,Maharashtra,1,Graduate,Law,"Governance, Law and Management",Ordinary,Supremo
MH008300,Shri S Ramakrishna,Maharashtra,2,Graduate,Mathematics,"Engineering, Technology and Mathematics",Ordinary,Supremo
MH008300,Shri S Ramakrishna,Maharashtra,3,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
MH008400,Shri K K Uppal,Maharashtra,0,Graduate,English Lit,Languages and Fine Arts,Second,Supremo
MH008400,Shri K K Uppal,Maharashtra,1,P.G.,English Lit,Languages and Fine Arts,Second,Supremo
MP007800,Shri B Swarup,Madhya Pradesh,0,Graduate,English,Languages and Fine Arts,Second,Supremo
MP007800,Shri B Swarup,Madhya Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
MP007900,Shri Rn Chopra,Madhya Pradesh,0,Graduate,Zoology,Natural Sciences,Second,Supremo
MP007900,Shri Rn Chopra,Madhya Pradesh,1,P.G.,Geology,Natural Sciences,First,Supremo
MP008000,Dr. Kcs Acharya,Madhya Pradesh,0,Graduate,Commerce,Finance,Second,Supremo
MP008000,Dr. Kcs Acharya,Madhya Pradesh,1,P.G.,Commerce,Finance,First,Supremo
MP008000,Dr. Kcs Acharya,Madhya Pradesh,2,Ph. D.,Economics,Social Science and Liberal Arts,Ordinary,Supremo
MP008100,Shri Ms Singh Deo,Madhya Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
MP008100,Shri Ms Singh Deo,Madhya Pradesh,1,P.G.,History,Social Science and Liberal Arts,Second,Supremo
OR005300,Shri C Venkataramani,Odisha,0,Graduate,Chemistry,Natural Sciences,First,Supremo
OR005300,Shri C Venkataramani,Odisha,1,P.G.,Chemistry,Natural Sciences,First,Supremo
OR005400,Shri Nk Panda,Odisha,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
OR005400,Shri Nk Panda,Odisha,1,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
OR005600,Shri P S H Mohamed,Odisha,0,Graduate,English Lit,Languages and Fine Arts,First,Supremo
PB002600,Shri P K Kathpalia,Punjab,0,Graduate,English,Languages and Fine Arts,First,Supremo
PB002600,Shri P K Kathpalia,Punjab,1,P.G.,English,Languages and Fine Arts,Second,Supremo
RJ005900,Shri Mohan Lal Anand,Rajasthan,0,Graduate,Physics,Natural Sciences,First,Supremo
RJ005900,Shri Mohan Lal Anand,Rajasthan,1,P.G.,Physics,Natural Sciences,First,Supremo
TN005600,Shri Tn Seshan,Tamil Nadu,0,Graduate,Physics,Natural Sciences,First,Supremo
TN005600,Shri Tn Seshan,Tamil Nadu,1,P.G.,Public Admn,"Governance, Law and Management",First,Supremo
