ID,Name,Cadre,Reference_Value,Qualification,Subject,Division,Source,Category_of_Subject
WB007800,Shri Rn Sen Gupta,West Bengal,1,P.G.,History,Second,Supremo,Social Science and Liberal Arts
KL002900,Shri S Narayanaswamy,Kerala,0,Graduate,Chemistry,First,Supremo,Natural Sciences
KL002900,Shri S Narayanaswamy,Kerala,1,P.G.,Chemistry,First,Supremo,Natural Sciences
KN005300,Shri Ksn Murthy,Karnataka,0,Graduate,Botany,First,Supremo,Natural Sciences
KN005300,Shri Ksn Murthy,Karnataka,1,P.G.,Botany,First,Supremo,Natural Sciences
AM003800,Shri J C Nampui,Assam Meghalya,0,Graduate,English,First,Supremo,Languages and Fine Arts
OR006000,Shri Tu V Sekharan,Odisha,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
MH008900,Shri K S R Krishnan,Maharashtra,0,Graduate,Physics,First,Supremo,Natural Sciences
MH008900,Shri K S R Krishnan,Maharashtra,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
MH008900,Shri K S R Krishnan,Maharashtra,2,P.G.,Physics,Ordinary,Supremo,Natural Sciences
MH009100,Shri John Innocent,Maharashtra,0,Graduate,Chemistry,First,Supremo,Natural Sciences
MH009300,Shri Kg Paranjpe,Maharashtra,0,Graduate,Law,Second,Supremo,"Governance, Law and Management"
MH009300,Shri Kg Paranjpe,Maharashtra,1,Graduate,Philosophy,First,Supremo,Social Science and Liberal Arts
MP008800,Shri S C Vaish,Madhya Pradesh,0,Certificate,French,Ordinary,Supremo,Languages and Fine Arts
MP008800,Shri S C Vaish,Madhya Pradesh,1,Graduate,History,Second,Supremo,Social Science and Liberal Arts
MP008800,Shri S C Vaish,Madhya Pradesh,2,Graduate,Law,Ordinary,Supremo,"Governance, Law and Management"
MP008800,Shri S C Vaish,Madhya Pradesh,3,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
MP008900,Shri Mk Chaturvedi,Madhya Pradesh,0,Graduate,History,First,Supremo,Social Science and Liberal Arts
MP009000,Shri Rs Khanna,Madhya Pradesh,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
MP009000,Shri Rs Khanna,Madhya Pradesh,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
MP009100,Shri Nv Krishnan,Madhya Pradesh,0,Graduate,Zoology,Second,Supremo,Natural Sciences
MP009300,Shri J Swarup,Madhya Pradesh,0,Graduate,Physics,First,Supremo,Natural Sciences
MP009300,Shri J Swarup,Madhya Pradesh,1,P.G.,Physics,First,Supremo,Natural Sciences
OR006200,Shri K Srinivasan,Odisha,0,Graduate,Commerce,Third,Supremo,Finance
OR006200,Shri K Srinivasan,Odisha,1,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
RJ006000,Shri Al Roongta,Rajasthan,0,Graduate,English Lit,First,Supremo,Languages and Fine Arts
RJ006000,Shri Al Roongta,Rajasthan,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
RJ006100,Shri Rk Saxena,Rajasthan,0,Graduate,Commerce,First,Supremo,Finance
RJ006100,Shri Rk Saxena,Rajasthan,1,Graduate,Law,First,Supremo,"Governance, Law and Management"
RJ006100,Shri Rk Saxena,Rajasthan,2,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
RJ006200,Shri Vc Pande,Rajasthan,0,Graduate,Physics,Second,Supremo,Natural Sciences
RJ006200,Shri Vc Pande,Rajasthan,1,P.G.,English,Second,Supremo,Languages and Fine Arts
RJ006200,Shri Vc Pande,Rajasthan,2,P.G.,Physics,Second,Supremo,Natural Sciences
TN006300,Shri Cn Raghavan,Tamil Nadu,0,P.G.,Chemistry,Second,Supremo,Natural Sciences
TN006400,Shri Tv Antony,Tamil Nadu,0,Graduate,Chemistry,First,Supremo,Natural Sciences
TN006400,Shri Tv Antony,Tamil Nadu,1,Graduate,Law,Second,Supremo,"Governance, Law and Management"
TN006500,Shri Hm Singh,Tamil Nadu,0,Diploma,Punjabi,Ordinary,Supremo,Languages and Fine Arts
TN006500,Shri Hm Singh,Tamil Nadu,1,Graduate,Political Sc.,Ordinary,Supremo,Social Science and Liberal Arts
TN006500,Shri Hm Singh,Tamil Nadu,2,P.G.,Political Sc.,Second,Supremo,Social Science and Liberal Arts
TN006600,Ms. S Satyabhama,Tamil Nadu,0,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
TN006600,Ms. S Satyabhama,Tamil Nadu,1,P.G.,Political Sc.,Second,Supremo,Social Science and Liberal Arts
AM004000,Shri R V Lyngdoh,Assam Meghalya,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
AP008300,Shri P K Doraiswamy,Andhra Pradesh,0,Diploma,Statistics,Ordinary,Supremo,"Engineering, Technology and Mathematics"
AP008300,Shri P K Doraiswamy,Andhra Pradesh,1,Graduate,Statistics,First,Supremo,"Engineering, Technology and Mathematics"
AP008400,Shri K V Natarajan,Andhra Pradesh,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
AP008400,Shri K V Natarajan,Andhra Pradesh,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
